,Sehir,İlce,Mahalle,Fiyat,brüt metrekare,Net Metrekare,Oda Sayısı,Binanın Yaşı,Bulunduğu Kat
515,İstanbul,9,35,659000,140,120,5,0,0
516,İstanbul,9,35,439000,110,100,3,7,7
517,İstanbul,16,124,870000,120,115,3,5,12
518,İstanbul,9,35,1950000,165,136,5,5,5
519,İstanbul,9,35,2750000,165,146,5,3,16
520,İstanbul,31,58,1250000,127,105,5,2,0
521,İstanbul,9,35,739000,115,102,3,0,7
522,İstanbul,9,35,699000,146,120,5,0,0
523,İstanbul,9,35,340000,110,100,3,7,7
524,İstanbul,9,35,439000,110,100,3,7,7
525,İstanbul,9,35,269999,130,120,3,0,19
526,İstanbul,9,35,499999,120,110,3,0,7
527,İstanbul,3,155,2325000,220,205,11,7,26
528,İstanbul,14,35,739000,115,102,3,0,7
529,İstanbul,9,35,539999,100,95,3,0,25
530,İstanbul,3,117,615000,100,87,3,5,13
531,İstanbul,9,128,889000,110,90,3,0,7
532,İstanbul,22,135,610000,135,120,5,3,0
533,İstanbul,3,155,1250000,210,200,11,5,26
534,İstanbul,22,62,1600000,141,95,5,7,1
535,İstanbul,9,2,1575000,140,125,3,8,24
536,İstanbul,8,144,200000000,1500,1100,13,5,23
537,İstanbul,2,56,495000,130,110,5,5,7
538,İstanbul,2,37,390000,110,100,5,5,0
539,İstanbul,14,145,450000,100,90,3,8,0
540,İstanbul,9,2,1699000,270,250,11,0,12
541,İstanbul,9,35,749900,150,140,5,0,7
542,İstanbul,9,35,529900,120,105,3,0,0
543,İstanbul,9,2,1434900,160,150,5,0,25
544,İstanbul,9,2,800000,105,90,1,6,11
545,İstanbul,9,35,659000,140,120,5,0,0
546,İstanbul,9,35,439000,110,100,3,7,7
547,İstanbul,16,124,870000,120,115,3,5,12
548,İstanbul,9,35,1950000,165,136,5,5,5
549,İstanbul,9,35,2750000,165,146,5,3,16
550,İstanbul,31,58,1250000,127,105,5,2,0
551,İstanbul,9,35,739000,115,102,3,0,7
552,İstanbul,9,35,699000,146,120,5,0,0
553,İstanbul,9,35,340000,110,100,3,7,7
554,İstanbul,9,35,439000,110,100,3,7,7
555,İstanbul,9,35,269999,130,120,3,0,19
556,İstanbul,9,35,499999,120,110,3,0,7
557,İstanbul,3,155,2325000,220,205,11,7,26
558,İstanbul,14,35,739000,115,102,3,0,7
559,İstanbul,9,35,539999,100,95,3,0,25
560,İstanbul,3,117,615000,100,87,3,5,13
561,İstanbul,9,128,889000,110,90,3,0,7
562,İstanbul,22,135,610000,135,120,5,3,0
563,İstanbul,3,155,1250000,210,200,11,5,26
564,İstanbul,22,62,1600000,141,95,5,7,1
565,İstanbul,9,2,1575000,140,125,3,8,24
566,İstanbul,8,144,200000000,1500,1100,13,5,23
567,İstanbul,2,56,495000,130,110,5,5,7
568,İstanbul,2,37,390000,110,100,5,5,0
569,İstanbul,14,145,450000,100,90,3,8,0
570,İstanbul,9,2,1699000,270,250,11,0,12
