,Fiyat,Marka,Seri,Model,Yıl,Yakıt Tipi,Vites Tipi,Motor Hacmi,Motor Gücü,Kilometre,Toplam Tramer Tutarı
377,235000,5,45,73,2020,0,0,1368,95,2,0.0
378,162500,17,21,37,2008,1,0,1248,90,170,0.0
379,662000,0,12,275,2020,0,2,1498,150,25,0.0
380,216000,20,38,126,2012,1,0,1461,90,113,0.0
381,283000,15,24,281,2006,0,1,1498,95,72,0.0
382,405750,7,37,219,2017,2,2,1401,125,34,0.0
383,539500,20,65,108,2019,1,2,1401,125,23,0.0
384,429500,25,74,4,2021,0,2,999,95,19,0.0
385,279500,25,53,204,2015,1,0,1401,100,187,0.0
386,253000,7,37,221,2010,2,1,1595,125,188,0.0
387,37500,23,104,295,1995,2,0,1401,100,500,0.0
388,169500,17,41,102,2013,2,1,1201,100,190,0.0
389,210000,5,45,48,2017,1,0,1248,95,128,0.0
390,89000,20,79,159,2001,2,0,1598,90,185,0.0
391,285000,15,44,249,2004,1,1,2148,150,397,0.0
392,190000,25,56,205,2011,1,0,1598,105,178,0.0
393,305000,16,66,20,2018,2,2,1200,100,45,0.0
394,123500,20,93,125,2010,1,0,1461,65,330,0.0
395,91500,17,21,77,1999,2,0,1388,90,358,0.0
396,475950,25,72,202,2015,1,2,1598,120,142,0.0
397,348500,22,69,198,2017,1,2,1598,115,185,0.0
398,292000,8,16,145,2015,1,1,1582,136,166,0.0
399,650900,15,44,260,2011,1,1,2501,275,330,0.0
400,230900,6,48,117,2017,1,0,1499,85,127,0.0
401,137500,25,74,205,2011,1,0,1598,90,280,0.0
402,142500,8,102,19,2010,2,0,1248,78,153,0.0
403,32750,20,80,163,1994,2,0,1565,92,350,0.0
404,68500,20,89,184,1998,2,0,1598,90,350,0.0
405,119900,5,62,46,2014,1,0,1248,95,230,0.0
406,266000,18,4,140,2018,1,2,1560,102,49,0.0
407,198500,21,96,199,2013,1,0,1598,105,175,0.0
408,351000,25,56,28,2014,0,2,1200,125,73,0.0
409,87500,8,15,116,1999,0,0,1401,100,73,0.0
410,187900,25,56,205,2011,1,2,1401,125,266,0.0
411,109999,23,43,297,1998,2,0,1581,96,53,0.0
412,537500,7,37,121,2021,2,1,1498,182,0,0.0
413,75000,5,70,24,2002,2,0,1242,74,244,0.0
414,427500,7,37,220,2019,2,2,1401,125,29,0.0
415,179750,1,5,254,2005,2,0,1596,115,330,0.0
416,721850,15,27,284,2016,0,1,1595,156,95,0.0
417,179000,25,53,211,2003,2,1,1595,102,187,3500.0
418,88500,24,40,213,1997,2,0,1587,105,315,0.0
419,170000,25,74,57,2004,0,1,1390,75,132,0.0
420,170000,25,74,57,2004,0,1,1390,75,132,0.0
421,449950,24,40,222,2020,2,2,1601,125,38,0.0
422,235000,2,42,175,2011,2,0,1598,124,160,0.0
423,413500,22,69,200,2016,1,2,1598,110,65,0.0
424,310000,21,61,199,2015,1,2,1598,110,145,0.0
425,160000,20,93,127,2013,1,0,1461,75,260,0.0
426,287500,6,48,209,2016,2,2,1596,105,72,0.0
427,175000,5,62,48,2013,1,0,1248,95,137,0.0
428,299000,24,40,139,2014,2,1,1598,132,105,0.0
429,261000,18,7,109,2019,1,0,1499,102,88,4760.0
430,196000,20,38,126,2016,1,0,1401,100,181,0.0
431,242000,20,38,132,2016,1,2,1401,100,153,0.0
432,135000,4,63,122,2011,1,0,1461,70,212,16500.0
433,65000,23,58,297,1998,2,0,1581,83,44,0.0
434,108750,25,25,152,2005,2,1,1595,102,220,0.0
435,50000,6,67,239,1996,2,0,1988,136,243,0.0
436,163000,5,26,101,2009,2,0,1368,125,184,0.0
437,469000,25,72,202,2015,1,2,1598,120,113,0.0
438,242500,17,41,33,2014,0,2,1229,85,109,0.0
439,450000,25,72,202,2016,1,2,1598,120,132,0.0
440,450000,25,72,202,2016,1,2,1598,120,132,0.0
441,150000,5,76,292,2008,0,0,1368,77,242,0.0
442,109500,8,17,112,2011,1,0,1493,110,214,0.0
443,191500,25,56,207,2012,1,0,1598,105,238,340000.0
444,325000,25,72,152,2006,0,0,1401,125,430,0.0
445,182000,3,32,174,2009,1,0,1560,111,247,0.0
446,44500,5,94,185,1994,2,0,1581,75,302,0.0
447,39500,20,78,299,1978,0,0,1300,54,97,0.0
448,89500,20,38,69,2004,2,0,1201,100,138,0.0
449,79500,5,91,138,2004,2,0,1401,125,412,0.0
450,228000,25,56,30,2012,0,0,1197,105,149,0.0
451,275000,17,21,85,2013,0,1,1201,150,142,0.0
452,439500,20,38,7,2020,0,1,999,100,22,0.0
453,232000,1,9,269,2004,1,1,2993,231,377,5000.0
454,328000,25,72,237,2006,0,1,1801,125,380,0.0
455,354000,25,53,202,2017,1,2,1598,115,155,12000.0
456,151000,24,40,63,2009,1,2,1365,90,327,0.0
457,253900,3,31,216,2012,1,2,1560,114,186,0.0
458,72000,20,65,241,1999,2,0,1998,115,238,0.0
459,144000,11,82,70,2011,2,0,1401,125,230,0.0
